feature,importance
V14,0.1632692969866713
V4,0.11873942360216845
V10,0.11614883687486507
V12,0.0958755104732984
V17,0.08413489109453517
V11,0.06726681674039783
V3,0.05795654515929759
V16,0.051454981970292545
V7,0.028680582261988274
V2,0.025471979239813314
V9,0.020124663990198192
V21,0.018985367495816724
V19,0.013312250806466794
Amount,0.012579535319646987
V20,0.012267959296126126
V8,0.010945878682138113
V18,0.009966527650098369
V27,0.00976831624994016
V26,0.009290974170282549
V1,0.009282939259023001
V5,0.008969150530539125
V13,0.008705135133399036
V28,0.007393572182331327
V6,0.007210066267032626
V15,0.006632921436266575
V22,0.005744255872783401
V23,0.005392816323690319
V25,0.005175040402674481
Time,0.004890016888031914
V24,0.004363747640186441
